player,club,league,nationality,age,position,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Virgil van Dijk,Liverpool,Premier League,nl NED,33-254,DF,29,29,"2,610",29.0,1,1,2,1,0,0,3,0,1.6,1.6,0.5,2.0,15,131,5,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,19,6,31.6,0.66,0.21,0.05,0.17,13.6,1,0.08,-0.6,-0.6,2082,2268,91.8,37505,14726,871,907,96.0,1035,1081,95.7,159,241,66.0,0.7,+0.5,10,210,3,0,2093,174,64,1,17,1,4,0,0,0,0,1,5,34,1.17,29,0,1,1,1,2,4,0.14,4,0,0,0,0,0,32,14,16,14,2,9,16,56.3,7,22,12,10,44,76,143,3,2549,351,1021,1404,132,37,2549,5,3,60.0,2,40.0,1458,7047,3868,18,2,5,2,1759,90,100.0,90,29,0,,0,2.41,69,27,+42,+1.45,,65.0,25.1,+39.8,+1.37,,0,12,10,0,0,0,0,94,89,36,71.2
Mohamed Salah,Liverpool,Premier League,eg EGY,32-277,FW,29,29,"2,568",28.5,27,17,44,18,9,9,1,0,22.0,15.0,11.2,26.2,122,110,364,0.95,0.60,1.54,0.63,1.23,0.77,0.39,1.16,0.52,0.92,97,44,45.4,3.40,1.54,0.19,0.41,15.2,1,0.16,+5.0,+3.0,680,957,71.1,10276,2928,383,459,83.4,229,322,71.1,44,75,58.7,7.0,+5.8,68,41,70,12,931,20,5,13,3,52,15,0,0,0,0,6,44,131,4.59,96,1,17,11,4,2,23,0.81,17,0,4,2,0,0,18,11,7,5,6,7,12,58.3,5,4,0,4,4,22,5,0,1294,10,77,397,837,280,1285,107,51,47.7,53,49.5,887,5442,2849,47,102,91,54,1086,89,98.4,89,22,0,,0,2.41,69,27,+42,+1.47,+1.47,64.7,24.7,+40.0,+1.40,+1.80,0,20,33,11,0,0,0,81,7,6,53.8
Ryan Gravenberch,Liverpool,Premier League,nl NED,22-307,MF,29,29,"2,471",27.5,0,2,2,0,0,0,5,0,0.9,0.9,2.8,3.7,54,138,44,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,13,3,23.1,0.47,0.11,0.00,0.00,23.5,0,0.07,-0.9,-0.9,1331,1495,89.0,19852,5072,736,795,92.6,502,549,91.4,51,83,61.4,3.1,-0.8,23,114,28,1,1465,27,14,7,3,5,7,0,0,0,0,3,13,52,1.89,46,0,3,2,0,1,6,0.22,6,0,0,0,0,0,52,28,20,22,10,25,43,58.1,18,30,8,22,50,102,50,0,1810,94,386,1061,387,20,1810,59,29,49.2,21,35.6,1082,5682,2922,56,7,40,17,1288,85,94.7,85,21,0,,0,2.41,64,24,+40,+1.46,+0.16,60.9,23.4,+37.5,+1.36,-0.16,0,37,38,0,0,0,0,152,18,7,72.0
Trent Alexander-Arnold,Liverpool,Premier League,eng ENG,26-163,DF,28,26,"2,145",23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,38,7,18.4,1.59,0.29,0.05,0.29,23.6,2,0.04,+0.4,+0.4,1321,1787,73.9,25377,10446,578,642,90.0,535,704,76.0,185,367,50.4,6.7,-0.7,50,187,62,20,1501,277,57,9,31,140,172,48,31,10,1,9,34,92,3.86,71,14,4,3,0,0,10,0.42,9,1,0,0,0,0,67,47,41,17,9,46,99,46.5,53,25,8,17,30,97,51,4,2044,82,546,902,609,39,2044,29,13,44.8,14,48.3,1075,4978,2652,35,8,19,15,1299,77,82.2,80,12,2,27,0,2.39,60,21,+39,+1.64,+1.06,53.9,18.0,+35.9,+1.51,+0.75,0,9,7,1,0,0,0,120,3,12,20.0
Alexis Mac Allister,Liverpool,Premier League,ar ARG,26-085,MF,28,25,"2,111",23.5,3,3,6,3,0,0,6,0,2.3,2.3,3.6,5.9,30,146,61,0.13,0.13,0.26,0.13,0.26,0.10,0.15,0.25,0.10,0.25,29,9,31.0,1.24,0.38,0.10,0.33,17.5,0,0.08,+0.7,+0.7,1045,1227,85.2,16644,4536,546,607,90.0,401,447,89.7,71,106,67.0,4.0,-0.6,33,102,32,1,1158,65,22,4,3,43,8,35,15,13,0,4,26,97,4.14,74,12,2,5,1,3,12,0.51,10,1,0,1,0,0,77,48,22,45,10,45,84,53.6,39,52,5,47,19,96,24,1,1506,47,238,788,493,49,1506,36,13,36.1,19,52.8,751,3124,1634,36,3,22,19,1016,75,80.9,81,13,3,28,0,2.46,57,17,+40,+1.71,+1.34,54.4,18.1,+36.3,+1.55,+0.91,0,52,33,2,0,0,0,114,16,21,43.2
Andrew Robertson,Liverpool,Premier League,sct SCO,31-008,DF,27,24,"2,016",22.4,0,0,0,0,0,0,3,1,0.8,0.8,4.0,4.9,54,146,81,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,10,2,20.0,0.45,0.09,0.00,0.00,15.0,0,0.08,-0.8,-0.8,1306,1563,83.6,21927,6690,642,676,95.0,552,636,86.8,95,197,48.2,3.5,-4.0,36,122,25,15,1315,243,41,4,5,123,147,55,37,11,0,5,25,65,2.90,54,9,0,1,0,1,3,0.13,3,0,0,0,0,0,34,21,22,9,3,27,43,62.8,16,9,4,5,19,53,43,1,1729,75,439,784,517,41,1729,13,4,30.8,8,61.5,927,4161,2409,45,4,20,10,1166,75,77.2,81,13,3,28,2,2.37,58,23,+35,+1.56,+0.50,51.1,20.6,+30.5,+1.36,-0.05,0,10,6,1,0,1,0,87,4,11,26.7
Dominik Szoboszlai,Liverpool,Premier League,hu HUN,24-145,MF,27,22,"1,953",21.7,5,3,8,5,0,0,6,0,6.7,6.7,5.0,11.7,61,101,108,0.23,0.14,0.37,0.23,0.37,0.31,0.23,0.54,0.31,0.54,55,17,30.9,2.53,0.78,0.09,0.29,17.9,1,0.12,-1.7,-1.7,882,1045,84.4,13822,2804,484,547,88.5,282,315,89.5,75,105,71.4,4.2,-2.0,40,67,29,4,956,88,16,4,12,30,29,12,8,3,0,1,20,93,4.29,72,4,4,11,1,1,12,0.55,9,0,0,3,0,0,29,19,8,16,5,15,37,40.5,22,33,4,29,9,38,13,1,1257,18,161,614,500,86,1257,34,19,55.9,13,38.2,662,3444,1907,41,17,32,16,858,72,74.8,83,15,5,27,0,2.44,48,19,+29,+1.34,-0.44,48.6,18.8,+29.7,+1.37,-0.01,0,35,19,3,0,0,0,108,16,18,47.1
Ibrahima Konaté,Liverpool,Premier League,fr FRA,25-298,DF,23,22,"1,894",21.0,1,2,3,1,0,0,5,0,1.1,1.1,0.9,2.0,18,87,2,0.05,0.10,0.14,0.05,0.14,0.05,0.04,0.09,0.05,0.09,12,2,16.7,0.57,0.10,0.08,0.50,11.1,0,0.09,-0.1,-0.1,1282,1419,90.3,23411,8218,457,488,93.6,757,798,94.9,59,114,51.8,0.8,+1.1,9,103,8,0,1382,36,33,0,4,0,3,0,0,0,0,1,6,23,1.09,21,0,0,2,0,0,5,0.24,5,0,0,0,0,0,31,21,23,7,1,21,30,70.0,9,23,12,11,10,41,96,1,1626,186,706,828,96,16,1626,4,2,50.0,1,25.0,969,4478,2568,12,0,6,2,1175,82,72.6,84,18,1,45,0,2.43,45,17,+28,+1.33,-0.43,44.2,17.2,+27.1,+1.29,-0.32,0,20,16,0,0,0,0,64,60,19,75.9
Luis Díaz,Liverpool,Premier League,co COL,28-065,FW,28,22,"1,850",20.6,9,4,13,9,0,0,2,0,7.6,7.6,3.4,11.0,84,83,213,0.44,0.19,0.63,0.44,0.63,0.37,0.17,0.53,0.37,0.53,54,23,42.6,2.63,1.12,0.17,0.39,13.9,0,0.14,+1.4,+1.4,563,666,84.5,8828,1808,314,350,89.7,188,219,85.8,42,51,82.4,3.4,+0.6,39,34,33,3,652,13,1,1,5,18,11,1,0,0,0,1,19,92,4.48,66,0,15,8,3,0,15,0.73,12,0,1,0,2,0,26,17,8,13,5,11,31,35.5,20,14,0,14,6,32,7,1,908,13,68,320,537,128,908,95,41,43.2,43,45.3,599,4445,2304,45,47,43,40,710,66,70.9,78,6,6,22,1,2.39,55,14,+41,+1.99,+1.88,48.5,16.6,+31.8,+1.55,+0.60,0,42,25,8,2,0,0,81,10,24,29.4
Alisson,Liverpool,Premier League,br BRA,32-168,GK,21,21,"1,878",20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0,0,,0.00,0.00,,,,0,,0.0,0.0,538,645,83.4,11965,7825,163,165,98.8,281,285,98.6,93,191,48.7,0.2,-0.6,1,10,0,0,562,81,27,1,0,0,0,0,0,0,0,2,0,6,0.29,6,0,0,0,0,0,1,0.05,1,0,0,0,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,12,1,682,499,668,14,0,0,682,1,1,100.0,0,0.0,447,1803,1063,0,0,1,0,407,89,72.0,89,20,0,,0,2.38,50,18,+32,+1.53,+0.30,48.0,15.6,+32.4,+1.55,+0.65,0,0,1,0,0,0,0,36,5,0,100.0
