player,value
Ederson,25.0
Stefan Ortega,9.0
Scott Carson,0.2
Rúben Dias,70.0
Abdukodir Khusanov,35.0
Nathan Aké,32.0
Manuel Akanji,32.0
John Stones,30.0
Vitor Reis,30.0
Josko Gvardiol,75.0
Rico Lewis,40.0
Rodri,130.0
Nico González,40.0
Matheus Nunes,35.0
Mateo Kovacic,25.0
İlkay Gündoğan,7.0
Bernardo Silva,45.0
Kevin De Bruyne,27.0
Claudio Echeverri,18.0
James McAtee,18.0
Nico O'Reilly,7.0
Jérémy Doku,55.0
Jack Grealish,35.0
Phil Foden,130.0
Savinho,55.0
Oscar Bobb,25.0
Erling Haaland,200.0
Omar Marmoush,75.0
David Raya,40.0
Neto,2.0
William Saliba,80.0
Gabriel Magalhães,75.0
Jakub Kiwior,22.0
Riccardo Calafiori,40.0
Myles Lewis-Skelly,28.0
Oleksandr Zinchenko,22.0
Kieran Tierney,10.0
Ben White,50.0
Jurrien Timber,50.0
Takehiro Tomiyasu,25.0
Thomas Partey,15.0
Jorginho,8.0
Declan Rice,110.0
Mikel Merino,35.0
Martin Ødegaard,100.0
Gabriel Martinelli,55.0
Leandro Trossard,30.0
Bukayo Saka,150.0
Ethan Nwaneri,55.0
Raheem Sterling,15.0
Kai Havertz,70.0
Gabriel Jesus,40.0
Alisson,25.0
Caoimhín Kelleher,22.0
Vitezslav Jaros,5.0
Harvey Davies,0.5
Ibrahima Konaté,60.0
Virgil van Dijk,28.0
Joe Gomez,25.0
Jarell Quansah,22.0
Konstantinos Tsimikas,20.0
Andrew Robertson,20.0
Trent Alexander-Arnold,75.0
Conor Bradley,25.0
Ryan Gravenberch,70.0
Wataru Endo,10.0
Tyler Morton,8.0
Alexis Mac Allister,90.0
Dominik Szoboszlai,80.0
Curtis Jones,50.0
Harvey Elliott,35.0
Luis Díaz,85.0
Cody Gakpo,70.0
Mohamed Salah,55.0
Federico Chiesa,18.0
Darwin Núñez,50.0
Diogo Jota,45.0
Robert Sánchez,20.0
Filip Jørgensen,20.0
Marcus Bettinelli,0.8
Lucas Bergström,0.7
Levi Colwill,55.0
Wesley Fofana,27.0
Benoît Badiashile,25.0
Tosin Adarabioyo,20.0
Trevoh Chalobah,17.0
Aarón Anselmino,8.0
Marc Cucurella,30.0
Malo Gusto,35.0
Reece James,30.0
Josh Acheampong,5.0
Moisés Caicedo,80.0
Roméo Lavia,40.0
Enzo Fernández,75.0
Kiernan Dewsbury-Hall,22.0
Mathis Amougou,10.0
Cole Palmer,130.0
Omari Kellyman,1.5
Mykhaylo Mudryk,30.0
Jadon Sancho,30.0
Tyrique George,3.5
Pedro Neto,50.0
Noni Madueke,40.0
Nicolas Jackson,55.0
Christopher Nkunku,45.0
David Datro Fofana,8.5
Marc Guiu,8.0
Guglielmo Vicario,35.0
Antonín Kinský,15.0
Fraser Forster,1.2
Brandon Austin,0.6
Alfie Whiteman,0.5
Cristian Romero,55.0
Micky van de Ven,55.0
Kevin Danso,25.0
Radu Drăgușin,25.0
Ben Davies,8.0
Destiny Udogie,45.0
Sergio Reguilón,8.0
Pedro Porro,45.0
Archie Gray,35.0
Djed Spence,15.0
Rodrigo Bentancur,30.0
Yves Bissouma,28.0
Pape Matar Sarr,40.0
Lucas Bergvall,25.0
Dejan Kulusevski,60.0
James Maddison,50.0
Heung-min Son,30.0
Wilson Odobert,18.0
Mikey Moore,15.0
Timo Werner,10.0
Brennan Johnson,50.0
Dominic Solanke,45.0
Mathys Tel,40.0
Richarlison,25.0
Dane Scarlett,1.8
André Onana,32.0
Altay Bayındır,10.0
Tom Heaton,0.2
Leny Yoro,55.0
Lisandro Martínez,45.0
Matthijs de Ligt,40.0
Harry Maguire,15.0
Victor Lindelöf,10.0
Ayden Heaven,1.5
Jonny Evans,1.5
Patrick Dorgu,25.0
Luke Shaw,16.0
Harry Amass,
Diogo Dalot,35.0
Noussair Mazraoui,32.0
Manuel Ugarte,50.0
Casemiro,12.0
Toby Collyer,5.0
Kobbie Mainoo,55.0
Christian Eriksen,6.0
Bruno Fernandes,55.0
Mason Mount,28.0
Alejandro Garnacho,45.0
Amad Diallo,40.0
Rasmus Højlund,45.0
Joshua Zirkzee,35.0
Nick Pope,10.0
Odysseas Vlachodimos,7.0
Martin Dúbravka,1.0
Mark Gillespie,0.3
John Ruddy,0.2
Sven Botman,45.0
Fabian Schär,9.0
Dan Burn,7.0
Jamaal Lascelles,6.0
Lewis Hall,30.0
Matt Targett,8.0
Jamal Lewis,3.0
Tino Livramento,35.0
Kieran Trippier,5.0
Emil Krafth,2.5
Bruno Guimarães,80.0
Sandro Tonali,45.0
Joelinton,40.0
Joe Willock,28.0
Sean Longstaff,22.0
Lewis Miley,22.0
Anthony Gordon,65.0
Harvey Barnes,30.0
Jacob Murphy,16.0
Alexander Isak,100.0
Callum Wilson,11.0
William Osula,7.0
Emiliano Martínez,25.0
Robin Olsen,1.5
Pau Torres,40.0
Ezri Konsa,35.0
Axel Disasi,25.0
Tyrone Mings,6.0
Kortney Hause,2.0
Ian Maatsen,28.0
Lucas Digne,12.0
Matty Cash,28.0
Andrés García,7.0
Amadou Onana,55.0
Boubacar Kamara,38.0
Lamare Bogarde,5.0
Youri Tielemans,35.0
John McGinn,18.0
Ross Barkley,8.0
Jacob Ramsey,32.0
Morgan Rogers,50.0
Marcus Rashford,50.0
Leon Bailey,32.0
Donyell Malen,25.0
Marco Asensio,20.0
Ollie Watkins,50.0
Bart Verbruggen,25.0
Carl Rushworth,3.0
Jason Steele,2.0
Tom McGill,0.6
Jan Paul van Hecke,32.0
Igor,22.0
